id;identificador_unico;nome;nivel_atual_ocupacao;status_tampa;tempo_aberta_segundos;data_hora
46;2;Lixeira Aterro;100;fechada;2.17;2026-05-14 00:49:00
45;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:58
44;2;Lixeira Aterro;100;fechada;2.15;2026-05-14 00:48:56
43;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:54
42;2;Lixeira Aterro;100;fechada;1.27;2026-05-14 00:48:53
41;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:51
40;2;Lixeira Aterro;100;fechada;1.14;2026-05-14 00:48:50
39;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:49
38;2;Lixeira Aterro;100;fechada;2.19;2026-05-14 00:48:48
37;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:46
36;2;Lixeira Aterro;100;fechada;1.12;2026-05-14 00:48:45
35;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:44
34;2;Lixeira Aterro;100;fechada;2.22;2026-05-14 00:48:42
33;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:40
32;2;Lixeira Aterro;100;fechada;3.22;2026-05-14 00:48:33
31;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:30
30;2;Lixeira Aterro;100;fechada;2.14;2026-05-14 00:48:29
29;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:27
28;2;Lixeira Aterro;100;fechada;2.22;2026-05-14 00:48:23
27;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:21
26;2;Lixeira Aterro;100;fechada;2.12;2026-05-14 00:48:20
25;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:18
24;2;Lixeira Aterro;100;fechada;2.14;2026-05-14 00:48:17
23;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:15
22;2;Lixeira Aterro;100;fechada;2.14;2026-05-14 00:48:13
21;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:11
20;2;Lixeira Aterro;100;fechada;2.14;2026-05-14 00:48:10
19;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:08
18;2;Lixeira Aterro;100;fechada;2.14;2026-05-14 00:48:07
17;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:48:05
16;2;Lixeira Aterro;100;fechada;2.16;2026-05-14 00:48:01
15;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:47:59
14;2;Lixeira Aterro;100;fechada;1.59;2026-05-14 00:47:57
13;2;Lixeira Aterro;0;aberta;0;2026-05-14 00:47:56
12;1.0;Lixeira Praça Central;45.5;aberta;0;2026-05-14 00:39:34
11;3.0;Lixeira Teste 01;12;fechada;5;2026-05-14 00:39:23
10;2.0;Lixeira Aterro;100;aberta;75;2026-05-14 00:39:17
9;1.0;Lixeira Praça Central;45.5;fechada;12.3;2026-05-14 00:39:06
8;1;Lixeira Praça Central;0;aberta;0;2026-05-14 00:17:21
7;1;Lixeira Praça Central;0;aberta;0;2026-05-14 00:11:11
6;1;Lixeira Praça Central;0;aberta;0;2026-05-14 00:09:14
5;1;Lixeira Praça Central;0;aberta;0;2026-05-14 00:08:42
4;1;Lixeira Praça Central;0;aberta;0;2026-05-13 23:59:09
3;1;Lixeira Praça Central;0;aberta;0;2026-05-13 23:52:03
2;1;Lixeira Praça Central;0;aberta;0;2026-05-13 23:49:22
1;1;Lixeira Praça Central;0;aberta;0;2026-05-13 23:43:35